64 , 0.3708 , 0.2812 , 0.0034 , 0.0031 
100 , 0.3664 , 0.2588 , 0.0088 , 0.0083 
128 , 0.3650 , 0.2592 , 0.0929 , 0.0925 
1024 , 0.3680 , 0.2745 , 0.0041 , 0.0041 
2000 , 0.3629 , 0.2660 , 0.0091 , 0.0089 
2048 , 0.3619 , 0.2604 , 0.0130 , 0.0126 
3000 , 0.3663 , 0.2681 , 0.0129 , 0.0112 
4000 , 0.3652 , 0.2714 , 0.0041 , 0.0041 
5000 , 0.3636 , 0.2689 , 0.0104 , 0.0099 
